dt,Open,High,Low,Close,Volume
2023-03-16,3.39,3.55,3.38,3.49,580690527.0
2023-03-17,3.51,3.52,3.44,3.48,421627133.0
2023-03-20,3.47,3.58,3.47,3.51,412149934.0
2023-03-21,3.5,3.53,3.41,3.43,304180208.0
2023-03-22,3.43,3.47,3.41,3.44,221591441.0
2023-03-23,3.44,3.49,3.43,3.47,186147346.0
2023-03-24,3.48,3.48,3.4,3.4,246398006.0
2023-03-27,3.4,3.4,3.33,3.36,228519248.0
2023-03-28,3.37,3.38,3.34,3.38,151853505.0
2023-03-29,3.38,3.43,3.35,3.39,226228868.0
2023-03-30,3.4,3.45,3.36,3.4,191528971.0
2023-03-31,3.39,3.42,3.37,3.38,154458817.0
2023-04-03,3.38,3.39,3.35,3.36,174610298.0
2023-04-04,3.37,3.43,3.35,3.43,237369205.0
2023-04-06,3.42,3.46,3.41,3.44,145282636.0
2023-04-07,3.44,3.45,3.41,3.43,118461830.0
2023-04-10,3.43,3.45,3.41,3.43,150665699.0
2023-04-11,3.44,3.46,3.42,3.46,191372454.0
2023-04-12,3.46,3.53,3.45,3.49,277212370.0
2023-04-13,3.49,3.55,3.48,3.54,217472683.0
2023-04-14,3.54,3.55,3.5,3.51,157922606.0
2023-04-17,3.51,3.58,3.5,3.58,282708720.0
2023-04-18,3.58,3.64,3.57,3.6,275066262.0
2023-04-19,3.6,3.64,3.58,3.61,217108696.0
2023-04-20,3.6,3.64,3.57,3.6,229313181.0
2023-04-21,3.59,3.65,3.57,3.58,284943173.0
2023-04-24,3.58,3.66,3.57,3.62,311925242.0
2023-04-25,3.64,3.71,3.63,3.67,335322299.0
2023-04-26,3.67,3.69,3.58,3.66,306562428.0
2023-04-27,3.66,3.68,3.61,3.67,186113552.0
2023-04-28,3.66,3.69,3.63,3.67,226704779.0
2023-05-04,3.65,3.97,3.65,3.94,631070023.0
2023-05-05,3.93,4.18,3.93,4.08,665262112.0
2023-05-08,4.09,4.49,4.08,4.49,941382675.0
2023-05-09,4.65,4.77,4.43,4.56,1310416599.0
2023-05-10,4.45,4.5,4.24,4.31,1078241969.0
2023-05-11,4.26,4.31,4.13,4.16,784238054.0
2023-05-12,4.15,4.2,4.1,4.16,531245828.0
2023-05-15,4.1,4.2,3.99,4.18,706461545.0
2023-05-16,4.15,4.32,4.13,4.19,670751951.0
2023-05-17,4.16,4.22,4.08,4.15,354923904.0
2023-05-18,4.16,4.27,4.16,4.21,442986511.0
2023-05-19,4.19,4.2,4.11,4.16,275512633.0
2023-05-22,4.18,4.24,4.14,4.17,277860661.0
2023-05-23,4.15,4.18,4.03,4.04,337049586.0
2023-05-24,4.02,4.02,3.88,3.89,491028400.0
2023-05-25,3.86,3.89,3.83,3.89,280922299.0
2023-05-26,3.88,3.92,3.84,3.89,238655912.0
2023-05-29,3.89,4.02,3.88,3.98,297568246.0
2023-05-30,3.96,3.99,3.9,3.93,261902967.0
2023-05-31,3.93,3.94,3.88,3.9,205519842.0
2023-06-01,3.9,3.94,3.85,3.91,239958427.0
2023-06-02,3.91,3.94,3.86,3.89,248662637.0
2023-06-05,3.88,3.98,3.86,3.98,303274910.0
2023-06-06,3.96,4.07,3.95,3.99,287616913.0
2023-06-07,4.0,4.08,3.99,4.04,246819846.0
2023-06-08,4.06,4.21,4.0,4.15,378819309.0
2023-06-09,4.15,4.18,4.09,4.13,273257633.0
2023-06-12,4.11,4.12,4.02,4.04,269742028.0
2023-06-13,4.03,4.08,4.02,4.06,144130792.0
2023-06-14,4.06,4.1,3.99,4.0,285583339.0
2023-06-15,4.01,4.05,3.97,4.01,181084355.0
2023-06-16,4.01,4.03,3.95,3.96,255840522.0
2023-06-19,3.96,3.97,3.89,3.9,279652432.0
2023-06-20,3.91,3.93,3.86,3.87,175346924.0
2023-06-21,3.87,3.94,3.84,3.88,230816583.0
2023-06-26,3.87,3.87,3.76,3.78,252428043.0
2023-06-27,3.78,3.87,3.76,3.86,182924388.0
2023-06-28,3.86,3.9,3.83,3.87,156523776.0
2023-06-29,3.87,3.88,3.82,3.86,151302217.0
2023-06-30,3.87,3.93,3.85,3.91,179058522.0
2023-07-03,3.92,4.0,3.9,3.98,181310274.0
2023-07-04,3.98,3.98,3.9,3.92,185500410.0
2023-07-05,3.91,3.94,3.88,3.92,151022394.0
2023-07-06,3.9,3.92,3.87,3.89,159507269.0
2023-07-07,3.87,3.91,3.86,3.88,122138130.0
2023-07-10,3.89,3.91,3.88,3.89,89067481.0
2023-07-11,3.89,3.93,3.89,3.93,113642540.0
2023-07-12,3.94,3.95,3.92,3.93,139650474.0
2023-07-13,3.94,4.0,3.94,3.99,169345874.0
2023-07-14,3.99,4.02,3.95,3.99,220776521.0
2023-07-17,3.78,3.79,3.74,3.77,166940098.0
2023-07-18,3.78,3.78,3.7,3.71,204961536.0
2023-07-19,3.7,3.72,3.68,3.72,122485185.0
2023-07-20,3.72,3.76,3.72,3.73,110058315.0
2023-07-21,3.72,3.75,3.71,3.74,93900950.0
2023-07-24,3.73,3.74,3.69,3.71,116608026.0
2023-07-25,3.73,3.81,3.72,3.81,202199310.0
2023-07-26,3.81,3.85,3.77,3.79,119371892.0
2023-07-27,3.79,3.88,3.78,3.82,185360929.0
2023-07-28,3.82,3.92,3.8,3.91,252603774.0
2023-07-31,3.95,3.98,3.87,3.91,233086780.0
2023-08-01,3.91,3.95,3.89,3.93,149887268.0
2023-08-02,3.9,3.91,3.81,3.82,281130848.0
2023-08-03,3.83,3.87,3.8,3.87,134064164.0
2023-08-04,3.88,3.91,3.85,3.89,189218721.0
2023-08-07,3.87,3.88,3.81,3.86,132388633.0
2023-08-08,3.85,3.86,3.82,3.83,102765479.0
2023-08-09,3.83,3.85,3.82,3.84,83260303.0
2023-08-10,3.83,3.84,3.81,3.83,79211633.0
2023-08-11,3.83,3.86,3.78,3.78,169439118.0
2023-08-14,3.75,3.76,3.69,3.72,158907541.0
2023-08-15,3.73,3.84,3.72,3.82,222225544.0
2023-08-16,3.8,3.82,3.76,3.81,129332445.0
2023-08-17,3.8,3.82,3.74,3.77,137760644.0
2023-08-18,3.77,3.82,3.77,3.78,132725785.0
2023-08-21,3.79,3.8,3.73,3.73,114630961.0
2023-08-22,3.73,3.79,3.73,3.79,136113786.0
2023-08-23,3.79,3.85,3.77,3.83,179745303.0
2023-08-24,3.83,3.84,3.77,3.78,139880001.0
2023-08-25,3.77,3.81,3.77,3.79,161917100.0
2023-08-28,3.94,3.95,3.8,3.84,271252607.0
2023-08-29,3.83,3.85,3.78,3.8,189578514.0
2023-08-30,3.8,3.8,3.75,3.76,175412159.0
2023-08-31,3.75,3.79,3.74,3.75,136168414.0
2023-09-01,3.75,3.76,3.7,3.71,224250710.0
2023-09-04,3.72,3.75,3.71,3.73,215340957.0
2023-09-05,3.73,3.73,3.71,3.71,90534871.0
2023-09-06,3.71,3.72,3.7,3.71,93932714.0
2023-09-07,3.72,3.73,3.7,3.71,148846160.0
2023-09-08,3.71,3.71,3.67,3.68,111351052.0
2023-09-11,3.69,3.7,3.66,3.69,130594845.0
2023-09-12,3.68,3.69,3.66,3.67,92124082.0
2023-09-13,3.67,3.69,3.66,3.69,91951313.0
2023-09-14,3.69,3.74,3.68,3.73,204197939.0
2023-09-15,3.73,3.75,3.69,3.7,218638759.0
2023-09-18,3.7,3.71,3.67,3.7,135263872.0
